year	month	periodo	area_cm2	area_m2	area_m2_ha	fruits_comp_q	fruits_comp	mes	Periodo	mean	max	variance	sd	n.dias	n.registros	medianf	meanf	maxf	variancef	sdf	medianm	meanm	maxm	variancem	sdm	avg_fis_rate	sd_fis	avg_fus_rate	sd_fus	p_M	sd_M	p_F	sd_F
2010	jan_I	1	123910.3042	12.39103042	4.363038879	58.98617512	51.6146394	jan	I	3.12	7	2.186428571	1.478657692	6	225	2	1.871111111	4	0.889563492	0.943166736	1	1.248888889	3	0.571706349	0.756112656	0.106775753	0.093399723	0.112781152	0.116041058	0.378941799	0.189979926	0.621058201	0.189979926
2010	jan_II	2	101559.5805	10.15595805	3.576041567	49.36797753	51.6146394	jan	II	2.890776699	7	2.165656816	1.471617075	12	412	2	1.822815534	4	0.889563492	0.943166736	1	1.248888889	3	0.571706349	0.756112656	0.182641797	0.153938744	0.113341154	0.104236784	0.325392973	0.243459607	0.674607027	0.243459607
2010	feb_I	3	260217.9143	26.02179143	9.162602617	52.22222222	45.66210046	feb	I	2.652838428	5	1.054269825	1.026776424	12	458	1	1.698689956	3	0.753652547	0.868131642	1	0.954148472	2	0.236405072	0.486215047	0.134206612	0.124896605	0.119376872	0.133058119	0.37150655	0.207488627	0.62849345	0.207488627
2010	feb_II	4	9343.854545	0.934385454	0.329008963	35.79595427	45.66210046	feb	II	3.485523385	8	2.919990853	1.708798073	12	449	2	2.04454343	3	0.753652547	0.868131642	1	0.954148472	2	0.236405072	0.486215047	0.207725605	0.147551929	0.086319521	0.138255182	0.414768268	0.225486355	0.585231732	0.225486355
2010	mar_I	5	84942.31743	8.494231743	2.99092667	23.89830508	34.32712215	mar	I	2.615044248	9	2.80136861	1.673728953	12	678	1	1.616519174	6	1.368234838	1.169715708	1	0.998525074	3	0.406201662	0.637339519	0.254818266	0.242899677	0.166521785	0.221701328	0.374831437	0.180724103	0.625168563	0.180724103
2010	mar_II	6	45911.47635	4.591147635	1.61660128	44.29149798	34.32712215	mar	II	2.448051948	8	2.293231971	1.514342092	10	616	1	1.542207792	6	1.368234838	1.169715708	1	0.998525074	3	0.406201662	0.637339519	0.330775271	0.253590968	0.254648664	0.334112729	0.332896568	0.272907793	0.667103432	0.272907793
2010	apr_I	7	54438.16348	5.443816348	1.916836742	41.86831739	43.9964943	apr	I	1.944791667	6	1.057428528	1.028313439	13	960	1	1.115625	3	0.450641945	0.6712987	1	0.829166667	3	0.527615572	0.726371511	0.179803945	0.17328921	0.15443697	0.186018213	0.379079861	0.328808564	0.620920139	0.328808564
2010	apr_II	8	26940.05185	2.694005185	0.948593375	46.29404617	43.9964943	apr	II	2.040183697	7	0.942061575	0.970598566	11	871	1	1.017221584	3	0.450641945	0.6712987	1	0.829166667	3	0.527615572	0.726371511	0.231200241	0.240469095	0.19422193	0.175625478	0.492302225	0.308370126	0.507697775	0.308370126
2010	may_I	9	80866.85723	8.086685723	2.84742455	68.14814815	68.14814815	may	I	1.94	4	0.792244898	0.8900814	3	50	1	1.34	3	0.269795918	0.519418828	1	0.6	1	0.244897959	0.494871659	0.339622642	NA	0.339622642	NA	0.245	0.213231534	0.755	0.213231534
2010	may_II	10	NA	NA	NA	NA	68.14814815	may	II	NA	NA	NA	NA	0	0	NA	NA	3	0.269795918	0.519418828	1	0.6	1	0.244897959	0.494871659	NA	NA	NA	NA	NA	NA	NA	NA
