year	mes	month	periodo	median	mean	max	variance	sd	n.dias	n.registros	medianf	meanf	maxf	variancef	sdf	medianm	meanm	maxm	variancem	sdm	area_m2	area_m2_ha	fruits_comp	fruits_comp_indiv	fruits_comp_q	area_m2_p	area_m2_np	area_m2_10g	avg_fis_rate	sd_fis	avg_fus_rate	sd_fus	p_M	sd_M	p_F	sd_F
2006	Ago	8	p2	1	1.239316239	4	0.511199528	0.714982187	8	117	1	0.692307692	NA	NA	NA	NA	NA	NA	NA	NA	0.773018725	0.147241662	78.53	NA	78.52564103	0.149600354	0.623418371	0.35247715	0	NA	0	NA	0.297727273	0.442179048	0.702272727	0.442179048
2006	Sep	9	p1	1	1.753846154	10	8.2490161	2.872110043	7	130	0	0.715384615	4	1.042397138	1.02097852	0	1.038461538	6	3.866726297	1.966399323	NA	NA	NA	0.830864197	71.42857143	NA	NA	NA	0.32	0.113137085	0.32	0.113137085	0.575152625	0.247178351	0.424847375	0.247178351
2006	Sep	9	p2	NA	NA	NA	NA	NA	0	0	NA	NA	4	1.042397138	1.02097852	0	1.038461538	6	3.866726297	1.966399323	2.305748221	0.439190137	71.43	0.777777778	NA	0.247839015	2.057909206	0.85993089	NA	NA	NA	NA	NA	NA	NA	NA
2006	Oct	10	p1	4	4.299401198	11	7.75319241	2.784455496	5	167	2	2.407185629	6	2.71271914	1.647033436	2	1.892215569	6	2.277469158	1.509128609	2.552151124	0.486124024	84.12	NA	74.59954233	0.380314396	2.171836727	0.677434872	0.226594301	0.193806743	0.21076436	0.044773835	0.336138614	0.349150312	0.663861386	0.349150312
2006	Oct	10	p2	3	3.548387097	9	5.665213601	2.380170918	7	186	1	1.741935484	6	2.71271914	1.647033436	2	1.892215569	6	2.277469158	1.509128609	1.982606079	0.377639253	84.12	0.702389278	92.52525253	0.390722417	1.591883662	0.497086779	0.201437908	0.105562577	0.09254902	0.082900143	0.499754141	0.355620184	0.500245859	0.355620184
2006	Nov	11	p1	3	3.752	11	5.220258065	2.284788407	6	125	3	2.688	5	2.02283871	1.422265344	1	1.064	6	2.076516129	1.441012189	1.488906837	0.283601302	86.49	0.950016661	85	0.536889114	0.952017723	0.757213816	0.117647059	0.166378066	0.326203209	0.204191263	0.339115419	0.233235143	0.660884581	0.233235143
2006	Nov	11	p2	4	4.496527778	12	8.975597658	2.995930182	11	288	2	2.270833333	5	2.02283871	1.422265344	1	1.064	6	2.076516129	1.441012189	3.096235895	0.589759218	86.49	0.885811966	87.12220762	0.560570063	2.535665832	1.545350423	0.192307692	0.176730975	0.076923077	0.153846154	0.502217112	0.325158303	0.497782888	0.325158303
2006	Dic	12	p1	5	5.052631579	12	9.302879841	3.050062268	10	266	3	2.966165414	9	5.474322599	2.339727035	2	2.086466165	5	1.973627465	1.404858521	4.518752651	0.860714791	83.19	0.88981591	81.66047088	0.602785682	3.915966969	2.114953846	0	NA	0	NA	0.365229215	0.07771455	0.634770785	0.07771455
2006	Dic	12	p2	4	4.406593407	11	4.621733822	2.149821812	4	91	0	1.263736264	9	5.474322599	2.339727035	2	2.086466165	5	1.973627465	1.404858521	3.590845936	0.683970654	83.19	0.735251876	91.72413793	0.529165849	3.061680087	1.462324524	0.181818182	NA	0.181818182	NA	0.771158617	0.302460752	0.228841383	0.302460752
2007	Ene	1	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.867777778	NA	NA	NA	NA	0.260606061	0.1971328	0	0	0.389532164	0.214500696	0.610467836	0.214500696
2007	Ene	1	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	Feb	2	p1	5	4.983870968	13	14.03225806	3.745965572	4	124	4	3.419354839	9	5.952793076	2.439834641	1	1.564516129	4	2.085234723	1.444034184	NA	NA	NA	NA	NA	NA	NA	NA	0.268353868	0.115437383	0.087157287	0.083411225	0.370061136	0.254715451	0.629938864	0.254715451
2007	Feb	2	p2	NA	NA	NA	NA	NA	0	0	NA	NA	9	5.952793076	2.439834641	1	1.564516129	4	2.085234723	1.444034184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	Mar	3	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.398471438	0.583436186	0.509177309	0.719012435	0.388495763	0.223384053	0.611504237	0.223384053
2007	Mar	3	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	Abr	4	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.060606061	0.104972776	0.110624315	0.121685712	0.107177033	0.204515712	0.892822967	0.204515712
2007	Abr	4	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007	May	5	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.162393162	0.166830951	0.188888889	0.200923792	0.387284611	0.213116861	0.612715389	0.213116861
2007	May	5	p2	4	4.358255452	13	11.04937695	3.32406031	9	321	3	2.956386293	NA	NA	NA	NA	NA	NA	NA	NA	2.78225275	0.529952905	87.35	NA	87.35440932	0.415640124	2.366612627	1.34174312	0.205927406	0.206723088	0.313497613	0.200519121	0.27166519	0.272533995	0.72833481	0.272533995
2007	Jun	6	p1	3	3.147651007	8	6.213816012	2.492752698	12	298	1	1.869127517	6	3.326249068	1.82380072	1	1.27852349	4	1.952466499	1.397306874	1.857110673	0.353735366	89.64	0.907099629	92.63888889	0.502859124	1.354251549	1.084626131	0.22274988	0.041040347	0.286571019	0.147045014	0.181468522	0.239976531	0.818531478	0.239976531
2007	Jun	6	p2	2	3.883534137	14	14.33718746	3.786447868	10	249	2	2.638554217	6	3.326249068	1.82380072	1	1.27852349	4	1.952466499	1.397306874	1.592914405	0.303412268	89.64	0.859584585	86.11111111	0.647500283	0.945414122	0.771913291	0.071800995	0.09927999	0.17542563	0.161648235	0.190927616	0.248482372	0.809072384	0.248482372
2007	Jul	7	p1	3	3.94047619	10	10.13444066	3.183463626	12	588	2	2.517006803	5	2.18880738	1.479461855	0	1.423469388	6	4.343366478	2.084074489	1.907769764	0.363384717	79.87	0.909941881	78.85245902	0.499786599	1.407983165	1.053188855	0.153740563	0.209683878	0.197867625	0.197883314	0.392791677	0.326081984	0.607208323	0.326081984
2007	Jul	7	p2	4	5.112433862	12	12.06283857	3.473159739	11	756	4	3.228835979	5	2.18880738	1.479461855	0	1.423469388	6	4.343366478	2.084074489	2.43449672	0.463713661	79.87	0.827487738	80.56179775	0.487217639	1.947279081	1.021903259	0.166067413	0.144875295	0.196714558	0.24711268	0.270792542	0.312792704	0.729207458	0.312792704
2007	Ago	8	p1	4	4.632970451	13	13.37286764	3.656893168	10	643	2	2.402799378	9	3.826596513	1.956168835	2	2.230171073	7	4.993667728	2.23465159	2.182040391	0.415626741	80.58	0.848812219	83.90092879	0.442108416	1.739931975	0.882582187	0.153606756	0.11481801	0.203174775	0.224572496	0.480278315	0.350944318	0.519721685	0.350944318
2007	Ago	8	p2	4	4.929088278	11	9.526848298	3.086559298	14	691	3	2.664254703	9	3.826596513	1.956168835	2	2.230171073	7	4.993667728	2.23465159	1.394588113	0.265635831	80.58	0.870267492	76.71480144	0.250977397	1.143610716	0.42277684	0.143656661	0.168335698	0.197103366	0.186259106	0.433779454	0.26667933	0.566220546	0.26667933
2007	Sep	9	p1	6	5.579059829	10	9.096519885	3.016043747	10	468	4	3.264957265	6	3.154486722	1.776087476	3	2.314102564	5	2.20305551	1.484269352	1.082978211	0.206281564	NA	0.864175359	NA	0.30086262	0.782115591	0.362743882	0.096689895	0.119024955	0.049814895	0.187195724	0.388728324	0.383678377	0.611271676	0.383678377
2007	Sep	9	p2	3	3.534031414	9	7.397519978	2.719838226	8	191	2	2.418848168	6	3.154486722	1.776087476	3	2.314102564	5	2.20305551	1.484269352	1.308625614	0.249262022	NA	NA	NA	0.284898156	1.023727458	0.352660199	0.187044818	0.146795883	0.375641309	0.114995823	0.299720752	0.246884167	0.700279248	0.246884167
2007	Oct	10	p1	3	4.278637771	11	7.661250312	2.76789637	7	323	2	2.263157895	6	1.710035959	1.307683432	2	2.015479876	6	3.698517393	1.923152982	1.796835825	0.342254443	88.27	NA	95.10309278	0.189256669	1.607579156	0.842476854	0.20612778	0.20805328	0.229632054	0.210653414	0.321209829	0.283517652	0.678790171	0.283517652
2007	Oct	10	p2	3	3.912087912	15	12.5720738	3.54571203	10	546	2	2.076923077	6	1.710035959	1.307683432	2	2.015479876	6	3.698517393	1.923152982	1.929664242	0.367555094	88.27	0.960070284	85.05467801	0.162854698	1.766809544	1.037029877	0.2655355	0.144077481	0.369524791	0.262400045	0.383264781	0.373429294	0.616735219	0.373429294
