year,month,periodo,area_cm2,area_m2,area_m2_ha,fruits_comp_q,fruits_comp_p,mes,Periodo,mean,max,variance,sd,sex
2010,jan_I,1,123910.3042,12.39103042,4.363038879,58.98617512,0.589861751,jan,I,3.12,7,2.186428571,1.478657692,all
2010,jan_II,2,101559.5805,10.15595805,3.576041567,49.36797753,0.493679775,jan,II,2.890776699,7,2.165656816,1.471617075,all
2010,feb_I,3,260217.9143,26.02179143,9.162602617,52.22222222,0.522222222,feb,I,2.652838428,5,1.054269825,1.026776424,all
2010,feb_II,4,9343.854545,0.934385454,0.329008963,35.79595427,0.357959543,feb,II,3.485523385,8,2.919990853,1.708798073,all
2010,mar_I,5,84942.31743,8.494231743,2.99092667,23.89830508,0.238983051,mar,I,2.615044248,9,2.80136861,1.673728953,all
2010,mar_II,6,45911.47635,4.591147635,1.61660128,44.29149798,0.44291498,mar,II,2.448051948,8,2.293231971,1.514342092,all
2010,apr_I,7,54438.16348,5.443816348,1.916836742,41.86831739,0.418683174,apr,I,1.944791667,6,1.057428528,1.028313439,all
2010,apr_II,8,26940.05185,2.694005185,0.948593375,46.29404617,0.462940462,apr,II,2.040183697,7,0.942061575,0.970598566,all
2010,may_I,9,80866.85723,8.086685723,2.84742455,68.14814815,0.681481482,may,I,1.94,4,0.792244898,0.8900814,all
2010,may_II,10,NA,NA,NA,NA,NA,may,II,NA,NA,NA,NA,all
2010,jun_I,11,250407.059,25.0407059,8.817149965,84.24242424,0.842424242,jun,I,2.7,4,0.744897959,0.863074712,all
2010,jun_II,12,NA,NA,NA,61.94690265,0.619469027,jun,II,3.00952381,6,1.603727696,1.266383708,all
2010,jul_I,13,325939.5147,32.59395147,11.47674348,54.95049505,0.549504951,jul,I,3.164912281,7,2.321299728,1.523581218,all
2010,jul_II,14,NA,NA,NA,39.73799127,0.397379913,jul,II,4.955390335,9,5.035315985,2.243950977,all
2010,aug_I,15,264753.8547,26.47538547,9.322318829,27.04402516,0.270440252,aug,I,4.431630972,9,5.767182649,2.401495919,all
2010,aug_II,16,133528.1776,13.35281776,4.701696395,49.45567652,0.494556765,aug,II,6.022781775,9,5.26598697,2.294773839,all
2010,sep_I,17,NA,NA,NA,NA,NA,sep,I,5.238095238,7,5.69047619,2.385471901,all
2010,sep_II,18,7246.436518,0.724643652,0.255156215,74.72527473,0.747252747,sep,II,1,1,0,0,all
2010,oct_I,19,NA,NA,NA,NA,NA,oct,I,NA,NA,NA,NA,all
2010,oct_II,20,157406.1669,15.74061669,5.542470667,59.42211055,0.594221106,oct,II,4.138686131,7,4.295353391,2.072523436,all
2010,nov_I,21,173522.4815,17.35224815,6.10994653,76.10619469,0.761061947,nov,I,3.308823529,7,2.873353819,1.695096994,all
2010,nov_II,22,NA,NA,NA,NA,NA,nov,II,NA,NA,NA,NA,all
2010,dec_I,23,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,all
2010,dec_II,24,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,all
2011,jan_I,25,98892.79871,9.889279871,3.4821408,50.69204152,0.506920415,jan,I,4.777380952,9,5.784708269,2.405142048,all
2011,jan_II,26,107823.7907,10.78237907,3.796612347,56.45967166,0.564596717,jan,II,6.729533679,9,5.913286608,2.431725027,all
2011,feb_I,27,42870.66501,4.287066501,1.509530458,63.84615385,0.638461539,feb,I,4.414081146,9,5.645536251,2.376033723,all
2011,feb_II,28,31362.46853,3.136246853,1.104312272,67.41071429,0.674107143,feb,II,5.304054054,9,5.002160324,2.236550988,all
2011,mar_I,29,NA,NA,NA,62.74509804,0.62745098,mar,I,3.225352113,9,5.345203295,2.311969571,all
2011,mar_II,30,NA,NA,NA,52.66393443,0.526639344,mar,II,3.527173913,9,5.048437871,2.246872909,all
2011,apr_I,31,NA,NA,NA,51.77304965,0.517730497,apr,I,4.939393939,5,0.121212121,0.348155312,all
2011,apr_II,32,NA,NA,NA,NA,NA,apr,II,NA,NA,NA,NA,all
2011,may_I,33,NA,NA,NA,NA,NA,may,I,NA,NA,NA,NA,all
2011,may_II,34,NA,NA,NA,NA,NA,may,II,NA,NA,NA,NA,all
2011,jun_I,35,NA,NA,NA,NA,NA,jun,I,NA,NA,NA,NA,all
2011,jun_II,36,255585.8891,25.55858891,8.999503136,31.25,0.3125,jun,II,5.392344498,8,3.460710342,1.860298455,all
2011,jul_I,37,197072.0203,19.70720203,6.939155644,60.77981651,0.607798165,jul,I,4.640776699,8,5.867292901,2.422249554,all
2011,jul_II,38,280376.476,28.0376476,9.872411127,59.81873112,0.598187311,jul,II,3.379146919,5,1.465086888,1.210407736,all
2011,aug_I,39,178773.7573,17.87737573,6.294850609,47.94520548,0.479452055,aug,I,3.675324675,7,4.26557807,2.065327594,all
2011,aug_II,40,104430.1025,10.44301025,3.677116285,56.56877898,0.56568779,aug,II,6.346405229,7,1.636987035,1.279447942,all
2011,sep_I,41,90741.08038,9.074108038,3.195108464,64.47368421,0.644736842,sep,I,4.202185792,7,5.898456735,2.428673863,all
2011,sep_II,42,115623.5531,11.56235531,4.07125187,72.54575707,0.725457571,sep,II,5.249070632,7,1.934000999,1.390683644,all
2011,oct_I,43,178529.9142,17.85299142,6.286264585,73.44632768,0.734463277,oct,I,4.920972644,8,2.524223441,1.588780489,all
2011,oct_II,44,113797.4579,11.37974579,4.006952743,NA,NA,oct,II,2.2,4,0.4,0.632455532,all
2011,nov_I,45,38623.11361,3.862311361,1.359968789,38.25503356,0.382550336,nov,I,4.565340909,8,4.662385069,2.159255675,all
2011,nov_II,46,NA,NA,NA,NA,NA,nov,II,NA,NA,NA,NA,all
2011,dec_I,47,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,all
2011,dec_II,48,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,all
2012,jan_I,49,NA,NA,NA,19.35483871,0.193548387,jan,I,3.413461538,7,0.672050037,0.81978658,all
2012,jan_II,50,35131.33954,3.513133954,1.237018998,50.54945055,0.505494506,jan,II,5.542443064,8,4.186472857,2.046087207,all
2012,feb_I,51,33513.3499,3.35133499,1.180047532,68.78901373,0.687890137,feb,I,5.287741935,8,2.742679003,1.65610356,all
2012,feb_II,52,2240.667942,0.224066794,0.078896759,74.08759124,0.740875912,feb,II,7.088068182,8,2.183105089,1.477533448,all
2012,mar_I,53,70187.0852,7.01870852,2.47137624,69.02356902,0.69023569,mar,I,7.408571429,8,1.623422022,1.274135794,all
2012,mar_II,54,47454.07342,4.745407342,1.670918078,68.36861768,0.683686177,mar,II,7.241050119,8,1.556588368,1.247633106,all
2010,jan_I,1,123910.3042,12.39103042,4.363038879,70.2988048,0.702988048,jan,I,1.871111111,4,0.889563492,0.943166736,female
2010,jan_II,2,101559.5805,10.15595805,3.576041567,51.02291966,0.510229197,jan,II,1.822815534,4,0.889563492,0.943166736,female
2010,feb_I,3,260217.9143,26.02179143,9.162602617,44.66324583,0.446632458,feb,I,1.698689956,3,0.753652547,0.868131642,female
2010,feb_II,4,9343.854545,0.934385454,0.329008963,28.89403643,0.288940364,feb,II,2.04454343,3,0.753652547,0.868131642,female
2010,mar_I,5,84942.31743,8.494231743,2.99092667,20.35725482,0.203572548,mar,I,1.616519174,6,1.368234838,1.169715708,female
2010,mar_II,6,45911.47635,4.591147635,1.61660128,42.68867923,0.426886792,mar,II,1.542207792,6,1.368234838,1.169715708,female
2010,apr_I,7,54438.16348,5.443816348,1.916836742,38.12192832,0.381219283,apr,I,1.115625,3,0.450641945,0.6712987,female
2010,apr_II,8,26940.05185,2.694005185,0.948593375,25.67656977,0.256765698,apr,II,1.017221584,3,0.450641945,0.6712987,female
2010,may_I,9,80866.85723,8.086685723,2.84742455,68.1481481,0.681481481,may,I,1.34,3,0.269795918,0.519418828,female
2010,may_II,10,NA,NA,NA,NA,NA,may,II,NA,3,0.269795918,0.519418828,female
2010,jun_I,11,250407.059,25.0407059,8.817149965,84.6774194,0.846774194,jun,I,2.1,3,0.418367347,0.646813224,female
2010,jun_II,12,NA,NA,NA,61.3636364,0.613636364,jun,II,1.3,3,0.418367347,0.646813224,female
2010,jul_I,13,325939.5147,32.59395147,11.47674348,37.40359387,0.374035939,jul,I,1.368421053,3,0.536323202,0.732340906,female
2010,jul_II,14,NA,NA,NA,41.49560115,0.414956012,jul,II,2.442379182,3,0.536323202,0.732340906,female
2010,aug_I,15,264753.8547,26.47538547,9.322318829,29.73882973,0.297388297,aug,I,2.357495881,5,2.289477547,1.513101962,female
2010,aug_II,16,133528.1776,13.35281776,4.701696395,44.14629668,0.441462967,aug,II,3.383693046,5,2.289477547,1.513101962,female
2010,sep_I,17,NA,NA,NA,NA,NA,sep,I,2.952380952,4,2.047619048,1.4309504,female
2010,sep_II,18,7246.436518,0.724643652,0.255156215,74.7252747,0.747252747,sep,II,0.78125,4,2.047619048,1.4309504,female
2010,oct_I,19,NA,NA,NA,NA,NA,oct,I,NA,NA,NA,NA,female
2010,oct_II,20,157406.1669,15.74061669,5.542470667,45.65222068,0.456522207,oct,II,1.96593674,NA,NA,NA,female
2010,nov_I,21,173522.4815,17.35224815,6.10994653,83.9167935,0.839167935,nov,I,1.705882353,4,1.195785777,1.093519902,female
2010,nov_II,22,NA,NA,NA,NA,NA,nov,II,NA,4,1.195785777,1.093519902,female
2010,dec_I,23,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,female
2010,dec_II,24,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,female
2011,jan_I,25,98892.79871,9.889279871,3.4821408,42.808906,0.42808906,jan,I,2.488095238,5,2.452778251,1.566134812,female
2011,jan_II,26,107823.7907,10.78237907,3.796612347,45.19059355,0.451905936,jan,II,3.753367876,5,2.452778251,1.566134812,female
2011,feb_I,27,42870.66501,4.287066501,1.509530458,56.51169694,0.565116969,feb,I,2.464200477,5,2.019624868,1.421135063,female
2011,feb_II,28,31362.46853,3.136246853,1.104312272,43.5163997,0.435163997,feb,II,2.763513514,5,2.019624868,1.421135063,female
2011,mar_I,29,NA,NA,NA,59.65772645,0.596577265,mar,I,1.605633803,5,1.617326601,1.271741562,female
2011,mar_II,30,NA,NA,NA,77.5,0.775,mar,II,1.847826087,5,1.617326601,1.271741562,female
2011,apr_I,31,NA,NA,NA,51.7730496,0.517730496,apr,I,2,2,0,0,female
2011,apr_II,32,NA,NA,NA,NA,NA,apr,II,NA,2,0,0,female
2011,may_I,33,NA,NA,NA,NA,NA,may,I,NA,NA,NA,NA,female
2011,may_II,34,NA,NA,NA,NA,NA,may,II,NA,NA,NA,NA,female
2011,jun_I,35,NA,NA,NA,NA,NA,jun,I,NA,NA,NA,NA,female
2011,jun_II,36,255585.8891,25.55858891,8.999503136,NA,NA,jun,II,3.181818182,NA,NA,NA,female
2011,jul_I,37,197072.0203,19.70720203,6.939155644,100,1,jul,I,3.003236246,5,2.938301181,1.714147363,female
2011,jul_II,38,280376.476,28.0376476,9.872411127,66.1904762,0.661904762,jul,II,2.829383886,5,2.938301181,1.714147363,female
2011,aug_I,39,178773.7573,17.87737573,6.294850609,32.3076923,0.323076923,aug,I,2.766233766,5,2.427260036,1.557966635,female
2011,aug_II,40,104430.1025,10.44301025,3.677116285,55.88083162,0.558808316,aug,II,4.54248366,5,2.427260036,1.557966635,female
2011,sep_I,41,90741.08038,9.074108038,3.195108464,60.24359128,0.602435913,sep,I,2.852459016,5,2.818771393,1.67891971,female
2011,sep_II,42,115623.5531,11.56235531,4.07125187,74.21785098,0.74217851,sep,II,3.546468401,5,2.818771393,1.67891971,female
2011,oct_I,43,178529.9142,17.85299142,6.286264585,70.66579255,0.706657926,oct,I,3.212765957,5,1.222885314,1.105841451,female
2011,oct_II,44,113797.4579,11.37974579,4.006952743,NA,NA,oct,II,1.1,5,1.222885314,1.105841451,female
2011,nov_I,45,38623.11361,3.862311361,1.359968789,27.88416315,0.278841632,nov,I,2.568181818,5,1.904169904,1.379916629,female
2011,nov_II,46,NA,NA,NA,NA,NA,nov,II,NA,5,1.904169904,1.379916629,female
2011,dec_I,47,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,female
2011,dec_II,48,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,female
2012,jan_I,49,NA,NA,NA,NA,NA,jan,I,2.875,4,0.149271845,0.386357147,female
2012,jan_II,50,35131.33954,3.513133954,1.237018998,45.045045,0.45045045,jan,II,3.037267081,4,0.149271845,0.386357147,female
2012,feb_I,51,33513.3499,3.35133499,1.180047532,70.92641605,0.709264161,feb,I,3.367741935,5,2.284487789,1.511452212,female
2012,feb_II,52,2240.667942,0.224066794,0.078896759,70.3806577,0.703806577,feb,II,4.5,5,2.284487789,1.511452212,female
2012,mar_I,53,70187.0852,7.01870852,2.47137624,74.43121065,0.744312107,mar,I,4.688571429,5,0.616201392,0.784984963,female
2012,mar_II,54,47454.07342,4.745407342,1.670918078,69.31359444,0.693135944,mar,II,4.8424821,5,0.616201392,0.784984963,female
2010,jan_I,1,123910.3042,12.39103042,4.363038879,56.7248062,0.567248062,jan,I,1.248888889,3,0.571706349,0.756112656,male
2010,jan_II,2,101559.5805,10.15595805,3.576041567,51.47874125,0.514787413,jan,II,1.248888889,3,0.571706349,0.756112656,male
2010,feb_I,3,260217.9143,26.02179143,9.162602617,56.28268445,0.562826845,feb,I,0.954148472,2,0.236405072,0.486215047,male
2010,feb_II,4,9343.854545,0.934385454,0.329008963,53.2847786,0.532847786,feb,II,0.954148472,2,0.236405072,0.486215047,male
2010,mar_I,5,84942.31743,8.494231743,2.99092667,24.680827,0.24680827,mar,I,0.998525074,3,0.406201662,0.637339519,male
2010,mar_II,6,45911.47635,4.591147635,1.61660128,45.34560353,0.453456035,mar,II,0.998525074,3,0.406201662,0.637339519,male
2010,apr_I,7,54438.16348,5.443816348,1.916836742,70.15584135,0.701558414,apr,I,0.829166667,3,0.527615572,0.726371511,male
2010,apr_II,8,26940.05185,2.694005185,0.948593375,56.28825735,0.562882574,apr,II,0.829166667,3,0.527615572,0.726371511,male
2010,may_I,9,80866.85723,8.086685723,2.84742455,NA,NA,may,I,0.6,1,0.244897959,0.494871659,male
2010,may_II,10,NA,NA,NA,NA,NA,may,II,0.6,1,0.244897959,0.494871659,male
2010,jun_I,11,250407.059,25.0407059,8.817149965,83.9805825,0.839805825,jun,I,0.6,1,0.244897959,0.494871659,male
2010,jun_II,12,NA,NA,NA,61.89496217,0.618949622,jun,II,0.6,1,0.244897959,0.494871659,male
2010,jul_I,13,325939.5147,32.59395147,11.47674348,66.21504667,0.662150467,jul,I,1.796491228,4,1.733086237,1.316467332,male
2010,jul_II,14,NA,NA,NA,34.24487387,0.342448739,jul,II,1.796491228,4,1.733086237,1.316467332,male
2010,aug_I,15,264753.8547,26.47538547,9.322318829,24.7913023,0.247913023,aug,I,2.074135091,4,1.63970944,1.280511398,male
2010,aug_II,16,133528.1776,13.35281776,4.701696395,45.3543914,0.453543914,aug,II,2.074135091,4,1.63970944,1.280511398,male
2010,sep_I,17,NA,NA,NA,NA,NA,sep,I,2.285714286,3,0.914285714,0.956182887,male
2010,sep_II,18,7246.436518,0.724643652,0.255156215,NA,NA,sep,II,2.285714286,3,0.914285714,0.956182887,male
2010,oct_I,19,NA,NA,NA,NA,NA,oct,I,NA,NA,NA,NA,male
2010,oct_II,20,157406.1669,15.74061669,5.542470667,66.04913613,0.660491361,oct,II,NA,NA,NA,NA,male
2010,nov_I,21,173522.4815,17.35224815,6.10994653,43.1818182,0.431818182,nov,I,1.602941176,3,0.481782265,0.69410537,male
2010,nov_II,22,NA,NA,NA,NA,NA,nov,II,1.602941176,3,0.481782265,0.69410537,male
2010,dec_I,23,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,male
2010,dec_II,24,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,male
2011,jan_I,25,98892.79871,9.889279871,3.4821408,51.20010173,0.512001017,jan,I,2.289285714,4,1.323842159,1.150583399,male
2011,jan_II,26,107823.7907,10.78237907,3.796612347,61.75703848,0.617570385,jan,II,2.289285714,4,1.323842159,1.150583399,male
2011,feb_I,27,42870.66501,4.287066501,1.509530458,73.50397925,0.735039793,feb,I,1.949880668,4,1.469408588,1.212191647,male
2011,feb_II,28,31362.46853,3.136246853,1.104312272,74.7375328,0.747375328,feb,II,1.949880668,4,1.469408588,1.212191647,male
2011,mar_I,29,NA,NA,NA,59.4812613,0.594812613,mar,I,1.61971831,4,1.585835769,1.259299714,male
2011,mar_II,30,NA,NA,NA,37.90955735,0.379095574,mar,II,1.61971831,4,1.585835769,1.259299714,male
2011,apr_I,31,NA,NA,NA,NA,NA,apr,I,2.939393939,3,0.121212121,0.348155312,male
2011,apr_II,32,NA,NA,NA,NA,NA,apr,II,2.939393939,3,0.121212121,0.348155312,male
2011,may_I,33,NA,NA,NA,NA,NA,may,I,NA,NA,NA,NA,male
2011,may_II,34,NA,NA,NA,NA,NA,may,II,NA,NA,NA,NA,male
2011,jun_I,35,NA,NA,NA,NA,NA,jun,I,NA,NA,NA,NA,male
2011,jun_II,36,255585.8891,25.55858891,8.999503136,44.0494234,0.440494234,jun,II,NA,NA,NA,NA,male
2011,jul_I,37,197072.0203,19.70720203,6.939155644,56.02259955,0.560225996,jul,I,1.637540453,3,0.738326399,0.859259215,male
2011,jul_II,38,280376.476,28.0376476,9.872411127,48.7603306,0.487603306,jul,II,1.637540453,3,0.738326399,0.859259215,male
2011,aug_I,39,178773.7573,17.87737573,6.294850609,54.5454545,0.545454545,aug,I,0.909090909,2,0.545454545,0.738548946,male
2011,aug_II,40,104430.1025,10.44301025,3.677116285,45.4545455,0.454545455,aug,II,0.909090909,2,0.545454545,0.738548946,male
2011,sep_I,41,90741.08038,9.074108038,3.195108464,NA,NA,sep,I,1.349726776,2,0.668227947,0.817452107,male
2011,sep_II,42,115623.5531,11.56235531,4.07125187,NA,NA,sep,II,1.349726776,2,0.668227947,0.817452107,male
2011,oct_I,43,178529.9142,17.85299142,6.286264585,70.01897535,0.700189754,oct,I,1.708206687,3,0.829231225,0.91062134,male
2011,oct_II,44,113797.4579,11.37974579,4.006952743,NA,NA,oct,II,1.708206687,3,0.829231225,0.91062134,male
2011,nov_I,45,38623.11361,3.862311361,1.359968789,46.84316907,0.468431691,nov,I,1.997159091,3,1.159536066,1.076817564,male
2011,nov_II,46,NA,NA,NA,NA,NA,nov,II,1.997159091,3,1.159536066,1.076817564,male
2011,dec_I,47,NA,NA,NA,NA,NA,dec,I,NA,NA,NA,NA,male
2011,dec_II,48,NA,NA,NA,NA,NA,dec,II,NA,NA,NA,NA,male
2012,jan_I,49,NA,NA,NA,NA,NA,jan,I,0.538461538,3,0.969380134,0.984571041,male
2012,jan_II,50,35131.33954,3.513133954,1.237018998,52.9644269,0.529644269,jan,II,0.538461538,3,0.969380134,0.984571041,male
2012,feb_I,51,33513.3499,3.35133499,1.180047532,47.5,0.475,feb,I,1.92,3,1.055607235,1.027427484,male
