year,mes,periodo,median,mean,max,variance,sd,sex,area_m2_ha,fruits_comp,fruits_comp_p
2006,Ago,p2,1,1.239316239,4,0.511199528,0.714982187,All,0.147241662,78.52564103,0.78525641
2006,Sep,p1,1,1.753846154,10,8.2490161,2.872110043,All,NA,71.42857143,0.714285714
2006,Sep,p2,NA,NA,NA,NA,NA,All,0.439190137,NA,NA
2006,Oct,p1,4,4.299401198,11,7.75319241,2.784455496,All,0.486124024,74.59954233,0.745995423
2006,Oct,p2,3,3.548387097,9,5.665213601,2.380170918,All,0.377639253,92.52525253,0.925252525
2006,Nov,p1,3,3.752,11,5.220258065,2.284788407,All,0.283601302,85,0.85
2006,Nov,p2,4,4.496527778,12,8.975597658,2.995930182,All,0.589759218,87.12220762,0.871222076
2006,Dic,p1,5,5.052631579,12,9.302879841,3.050062268,All,0.860714791,81.66047088,0.816604709
2006,Dic,p2,4,4.406593407,11,4.621733822,2.149821812,All,0.683970654,91.72413793,0.917241379
2007,Ene,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Ene,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Feb,p1,5,4.983870968,13,14.03225806,3.745965572,All,NA,NA,NA
2007,Feb,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Mar,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Mar,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Abr,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,Abr,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,May,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2007,May,p2,4,4.358255452,13,11.04937695,3.32406031,All,0.529952905,87.35440932,0.873544093
2007,Jun,p1,3,3.147651007,8,6.213816012,2.492752698,All,0.353735366,92.63888889,0.926388889
2007,Jun,p2,2,3.883534137,14,14.33718746,3.786447868,All,0.303412268,86.11111111,0.861111111
2007,Jul,p1,3,3.94047619,10,10.13444066,3.183463626,All,0.363384717,78.85245902,0.78852459
2007,Jul,p2,4,5.112433862,12,12.06283857,3.473159739,All,0.463713661,80.56179775,0.805617978
2007,Ago,p1,4,4.632970451,13,13.37286764,3.656893168,All,0.415626741,83.90092879,0.839009288
2007,Ago,p2,4,4.929088278,11,9.526848298,3.086559298,All,0.265635831,76.71480144,0.767148014
2007,Sep,p1,6,5.579059829,10,9.096519885,3.016043747,All,0.206281564,NA,NA
2007,Sep,p2,3,3.534031414,9,7.397519978,2.719838226,All,0.249262022,NA,NA
2007,Oct,p1,3,4.278637771,11,7.661250312,2.76789637,All,0.342254443,95.10309278,0.951030928
2007,Oct,p2,3,3.912087912,15,12.5720738,3.54571203,All,0.367555094,85.05467801,0.85054678
2007,Nov,p1,2,3.562857143,13,14.16652476,3.763844413,All,0.56027635,72.34042553,0.723404255
2007,Nov,p2,4,4.63760218,12,9.160658716,3.026658011,All,0.454829177,79.71698113,0.797169811
2007,Dic,p1,10,8.318885449,14,12.80793416,3.578817424,All,0.416015793,100,1
2007,Dic,p2,NA,NA,NA,NA,NA,All,0.489118686,NA,NA
2008,Ene,p1,4,5.780487805,14,30.92560976,5.561079909,All,NA,96.13259669,0.961325967
2008,Ene,p2,4.5,4.867816092,13,12.2187883,3.495538342,All,0.701898535,84.71760797,0.84717608
2008,Feb,p1,4,5.095121951,15,15.87112529,3.983858091,All,0.613766888,90.14844804,0.90148448
2008,Feb,p2,6,7.393728223,15,24.93884165,4.99388042,All,0.937982769,97.52252252,0.975225225
2008,Mar,p1,6,5.431707317,12,12.6566939,3.557624755,All,0.983970663,98.80597015,0.988059702
2008,Mar,p2,5,5.093548387,12,14.14332394,3.760761085,All,1.017351796,93.00699301,0.93006993
2008,Abr,p1,NA,NA,NA,NA,NA,All,0.767313525,75.25252525,0.752525253
2008,Abr,p2,4,4.317939609,10,7.267061939,2.695748864,All,0.678660164,89.30155211,0.893015521
2008,May,p1,0,1.00862069,8,5.618972981,2.370437297,All,0.60562388,85.27131783,0.852713178
2008,May,p2,2,1.696969697,4,0.815019263,0.902784173,All,0.213765224,79.64458805,0.796445881
2008,Jun,p1,1,1.430769231,5,1.15337132,1.073951265,All,0.202134985,84.48275862,0.844827586
2008,Jun,p2,2,2.030172414,6,1.165394355,1.079534323,All,0.153241871,71.30570758,0.713057076
2008,Jul,p1,1,1.510948905,6,1.810541005,1.345563453,All,0.492340984,77.11864407,0.771186441
2008,Jul,p2,2,1.816384181,5,1.000184056,1.000092024,All,0.197456346,76.46276596,0.76462766
