Fecha arreglada	Fecha	Avistaje	MO	Individuo	Sexo	Categoria	Grupo	Duracion evento	Item
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	1	Hojas
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	5	Frutos
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	5	Frutos
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	1	Frutos
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	1	Hojas
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	5	Frutos
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	6	Frutos
Jul-2009	13-Jul-2009	AV04507	MO04502	Nawal	M	AM	SJ1	6	Hojas
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	6	Hojas
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	6	Frutos
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	1	Hojas
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	20	Frutos
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	4	Frutos
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	1	Hojas
Jul-2009	15-Jul-2009	AV04509	MO04504	Kumanday	M	AM	SJ2	67	Frutos
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	5	Frutos
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	12	Frutos
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	4	Madera
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	2	Madera
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	2	Hojas
Jul-2009	16-Jul-2009	AV04513	MO04505	Pepa	F	AFD	SJ1	3	Hojas
Jul-2009	22-Jul-2009	AV04521	MO04511	Rasta	F	AF	SJ1	5	Frutos
