MO	Investigador	AVISTAJE	FOCAL_SAMPLE	ANIMAL_FOCAL	Especie	Anio	Date	Time	TOTAL	KU	KA	KI	KO	KK	PE	PL	PI	PA	BA	BO	BL	DL	DB	DN	DE	VI	VT	VN	RA	RK	KY	WA	PK	MO	NW	KL	AM	SAM	JM	IM	AF	SAF	JF	IF	AX	SAX	JX	IX	XX	TotalAM	TotalAF	TOTAL	tipo_subg
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	8:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	8:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	9:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	9:15	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	9:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	9:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	10:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	10:15	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	10:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	10:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	11:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	11:15	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	11:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	11:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	12:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	12:15	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	12:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	12:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	13:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	13:15	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	13:30	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	13:45	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	14:00	13	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	mixto
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	14:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	14:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	14:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	15:00	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	15:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	15:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	15:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	16:00	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	16:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	16:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	16:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	17:00	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	17:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	17:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08504	Andres_Montes	AV08505	FS08500	Bachue	Ateles_hybridus	2010	26-08-2010	17:45	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	9:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	9:15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	9:30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	9:45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	10:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	10:15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08515	FS08501	Nawal	Ateles_hybridus	2010	20-09-2010	10:30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	machos
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	11:15	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
MO08529	Andres_Montes	AV08516	FS08502	Bachue	Ateles_hybridus	2010	20-09-2010	11:30	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	hembras
